Dick Johnson Is Dead,Kirsten Johnson,2020,90 min,Documentaries,As her father nears the end of his life_ filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.
Blood & Water,,2021,2 Seasons,International TV Shows_ TV Dramas_ TV Mysteries,After crossing paths at a party_ a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.
Ganglands,Julien Leclercq,2021,1 Season,Crime TV Shows_ International TV Shows_ TV Action & Adventure,To protect his family from a powerful drug lord_ skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.
Jailbirds New Orleans,,2021,1 Season,Docuseries_ Reality TV,Feuds_ flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.
Kota Factory,,2021,2 Seasons,International TV Shows_ Romantic TV Shows_ TV Comedies,In a city of coaching centers known to train India’s finest collegiate minds_ an earnest but unexceptional student and his friends navigate campus life.
Midnight Mass,Mike Flanagan,2021,1 Season,TV Dramas_ TV Horror_ TV Mysteries,The arrival of a charismatic young priest brings glorious miracles_ ominous mysteries and renewed religious fervor to a dying town desperate to believe.
My Little Pony: A New Generation,Robert Cullen_ José Luis Ucha,2021,91 min,Children & Family Movies,Equestria's divided. But a bright-eyed hero believes Earth Ponies_ Pegasi and Unicorns should be pals — and_ hoof to heart_ she’s determined to prove it.
Sankofa,Haile Gerima,1993,125 min,Dramas_ Independent Movies_ International Movies,On a photo shoot in Ghana_ an American model slips back in time_ becomes enslaved on a plantation and bears witness to the agony of her ancestral past.
The Great British Baking Show,Andy Devonshire,2021,9 Seasons,British TV Shows_ Reality TV,A talented batch of amateur bakers face off in a 10-week competition_ whipping up their best dishes in the hopes of being named the U.K.'s best.
The Starling,Theodore Melfi,2021,104 min,Comedies_ Dramas,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
Vendetta: Truth_ Lies and The Mafia,,2021,1 Season,Crime TV Shows_ Docuseries_ International TV Shows,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?"
Bangkok Breaking,Kongkiat Komesiri,2021,1 Season,Crime TV Shows_ International TV Shows_ TV Action & Adventure,Struggling to earn a living in Bangkok_ a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.
Je Suis Karl,Christian Schwochow,2021,127 min,Dramas_ International Movies,After most of her family is murdered in a terrorist bombing_ a young woman is unknowingly lured into joining the very group that killed them.
Confessions of an Invisible Girl,Bruno Garotti,2021,91 min,Children & Family Movies_ Comedies,When the clever but socially-awkward Tetê joins a new school_ she'll do anything to fit in. But the queen bee among her classmates has other ideas.
Crime Stories: India Detectives,,2021,1 Season,British TV Shows_ Crime TV Shows_ Docuseries,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.
Dear White People,,2021,4 Seasons,TV Comedies_ TV Dramas,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks."
Europe's Most Dangerous Man: Otto Skorzeny in Spain,Pedro de Echave García_ Pablo Azorín Williams,2020,67 min,Documentaries_ International Movies,Declassified documents reveal the post-WWII life of Otto Skorzeny_ a close Hitler ally who escaped to Spain and became an adviser to world presidents.
Falsa identidad,,2020,2 Seasons,Crime TV Shows_ Spanish-Language TV Shows_ TV Dramas,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.
Intrusion,Adam Salky,2021,94 min,Thrillers,After a deadly home invasion at a couple’s new dream house_ the traumatized wife searches for answers — and learns the real danger is just beginning.
Jaguar,,2021,1 Season,International TV Shows_ Spanish-Language TV Shows_ TV Action & Adventure,In the 1960s_ a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.
Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,2021,1 Season,Crime TV Shows_ Docuseries_ International TV Shows,In the late 1970s_ an accused serial rapist claims multiple personalities control his behavior_ setting off a legal odyssey that captivates America.
Resurrection: Ertugrul,,2018,5 Seasons,International TV Shows_ TV Action & Adventure_ TV Dramas,When a good deed unwittingly endangers his clan_ a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.
Avvai Shanmughi,K.S. Ravikumar,1996,161 min,Comedies_ International Movies,Newly divorced and denied visitation rights with his daughter_ a doting father disguises himself as a gray-haired nanny in order to spend time with her.
Go! Go! Cory Carson: Chrissy Takes the Wheel,Alex Woo_ Stanley Moore,2021,61 min,Children & Family Movies,From arcade games to sled days and hiccup cures_ Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!
Jeans,S. Shankar,1998,166 min,Comedies_ International Movies_ Romantic Movies,When the father of the man she loves insists that his twin sons marry twin sisters_ a woman creates an alter ego that might be a bit too convincing.
Love on the Spectrum,,2021,2 Seasons,Docuseries_ International TV Shows_ Reality TV,Finding love can be hard for anyone. For young adults on the autism spectrum_ exploring the unpredictable world of dating is even more complicated.
Minsara Kanavu,Rajiv Menon,1997,147 min,Comedies_ International Movies_ Music & Musicals,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.
Grown Ups,Dennis Dugan,2010,103 min,Comedies,Mourning the loss of their beloved junior high basketball coach_ five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.
Dark Skies,Scott Stewart,2013,97 min,Horror Movies_ Sci-Fi & Fantasy,A family’s idyllic suburban life shatters when an alien force invades their home_ and as they struggle to convince others of the deadly threat.
Paranoia,Robert Luketic,2013,106 min,Thrillers,Blackmailed by his company's CEO_ a low-level employee finds himself forced to spy on the boss's rival and former mentor.
Ankahi Kahaniya,Ashwiny Iyer Tiwari_ Abhishek Chaubey_ Saket Chaudhary,2021,111 min,Dramas_ Independent Movies_ International Movies,As big city life buzzes around them_ lonely souls discover surprising sources of connection and companionship in three tales of love_ loss and longing.
Chicago Party Aunt,,2021,1 Season,TV Comedies,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.
Sex Education,,2020,3 Seasons,British TV Shows_ International TV Shows_ TV Comedies,Insecure Otis has all the answers when it comes to sex advice_ thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.
Squid Game,,2021,1 Season,International TV Shows_ TV Dramas_ TV Thrillers,Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside_ a tempting prize awaits — with deadly high stakes.
Tayo and Little Wizards,,2020,1 Season,Kids' TV,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.
The Father Who Moves Mountains,Daniel Sandu,2021,110 min,Dramas_ International Movies_ Thrillers,When his son goes missing during a snowy hike in the mountains_ a retired intelligence officer will stop at nothing — and risk everything — to find him.
The Stronghold,Cédric Jimenez,2021,105 min,Action & Adventure_ Dramas_ International Movies,Tired of the small-time grind_ three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.
Angry Birds,,2018,1 Season,Kids' TV_ TV Comedies,Birds Red_ Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.
Birth of the Dragon,George Nolfi,2017,96 min,Action & Adventure_ Dramas,A young Bruce Lee angers kung fu traditionalists by teaching outsiders_ leading to a showdown with a Shaolin master in this film based on real events.
Chhota Bheem,,2021,3 Seasons,Kids' TV,A brave_ energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.
He-Man and the Masters of the Universe,,2021,1 Season,Kids' TV_ TV Sci-Fi & Fantasy,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.
Jaws,Steven Spielberg,1975,124 min,Action & Adventure_ Classic Movies_ Dramas,When an insatiable great white shark terrorizes Amity Island_ a police chief_ an oceanographer and a grizzled shark hunter seek to destroy the beast.
Jaws 2,Jeannot Szwarc,1978,116 min,Dramas_ Horror Movies_ Thrillers,Four years after the last deadly shark attacks_ police chief Martin Brody fights to protect Amity Island from another killer great white.
Jaws 3,Joe Alves,1983,98 min,Action & Adventure_ Horror Movies_ Thrillers,After the staff of a marine theme park try to capture a young great white shark_ they discover its mother has invaded the enclosure and is out for blood.
Jaws: The Revenge,Joseph Sargent,1987,91 min,Action & Adventure_ Horror Movies_ Thrillers,After another deadly shark attack_ Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.
My Heroes Were Cowboys,Tyler Greco,2021,23 min,Documentaries,Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams_ training the horses he loves for the big screen.
Safe House,Daniel Espinosa,2012,115 min,Action & Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.
The Smart Money Woman,Bunmi Ajakaiye,2020,1 Season,International TV Shows_ Romantic TV Shows_ TV Comedies,Five glamorous millennials strive for success as they juggle careers_ finances_ love and friendships. Based on Arese Ugwu's 2016 best-selling novel.
Training Day,Antoine Fuqua,2001,122 min,Dramas_ Thrillers,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.
Castle and Castle,,2021,2 Seasons,International TV Shows_ TV Dramas,A pair of high-powered_ successful lawyers find themselves defending opposite interests of the justice system_ causing a strain on their happy marriage.
Dharmakshetra,,2014,1 Season,International TV Shows_ TV Dramas_ TV Sci-Fi & Fantasy,After the ancient Great War_ the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.
InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,2002,99 min,Action & Adventure_ Anime Features_ International Movies,With their biggest foe seemingly defeated_ InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.
InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,2003,99 min,Action & Adventure_ Anime Features_ International Movies,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,2004,88 min,Action & Adventure_ Anime Features_ International Movies,Ai_ a young half-demon who has escaped from Horai Island to try to help her people_ returns with potential saviors InuYasha_ Sesshomaru and Kikyo.
InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,2001,100 min,Action & Adventure_ Anime Features_ International Movies,A powerful demon has been sealed away for 200 years. But when the demon's son is awakened_ the fate of the world is in jeopardy.
Nailed It,,2021,6 Seasons,Reality TV,Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10_000 prize. It's part reality contest_ part hot mess.
Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,2011,102 min,Action & Adventure_ Anime Features_ International Movies,Mistakenly accused of an attack on the Fourth Raikage_ ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.
Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,2008,93 min,Action & Adventure_ Anime Features_ International Movies,When strange ninjas ambush the village of Konohagakure_ it's up to adolescent ninja Naruto and his long-missing pal_ Sasuke_ to save the planet.
Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,2009,96 min,Action & Adventure_ Anime Features_ International Movies,When four out of five ninja villages are destroyed_ the leader of the one spared tries to find the true culprit and protect his land.
Naruto Shippuden: The Movie,Hajime Kamegaki,2007,95 min,Action & Adventure_ Anime Features_ International Movies,The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so_ he must die.
Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,2010,85 min,Action & Adventure_ Anime Features_ International Movies,When Naruto is sent to recover a missing nin_ the rogue manages to send him 20 years into the past_ where he unites with his father to battle evil.
